url,Title,Category,Categories,Authors,Price NIS,Price USD,Year,Synopsis,Synopsis Length,StarRating,NumberOfReviews,Language,Format,Dimensions,Dimensions unit,Weight,Weight Unit,ISBN
https://www.bookdelivery.com/il-en/book-surely-you-re-joking-mr-feynman-s-adventures-of-a-curious-character/9780393355628/p/49814505,"""Surely You're Joking, mr. Feynman! ""S Adventures of a Curious Character","Biography, Literature And Literary Studies","Biography: science, technology and medicine, Physics","Richard P. Feynman, Bill Gates, Ralph Leighton",28.0,9.31,2018.0,"""""Surely You're Joking, mr. Feynman! ""S Adventures of a Curious Character "" Richard P. Feynman, winner of the Nobel Prize in physics, thrived on outrageous adventures. In this lively work that ""can shatter the stereotype of the stuffy scientist"" (Detroit Free Press), Feynman recounts his experiences trading ideas on atomic physics with Einstein and cracking the uncrackable safes guarding the most deeply held nuclear secrets--and much more of an eyebrow-raising nature. In his stories, Feynman's life shines through in all its eccentric glory--a combustible mixture of high intelligence, unlimited curiosity, and raging chutzpah.Included for this edition is a new introduction by Bill Gates.",694,,0,English,Paperback,"20.8, 13.7, 2.8",cm,0.32.,kg,9780393355628
https://www.bookdelivery.com/il-en/book-100m-offers-how-to-make-offers-so-good-people-feel-stupid-saying-no-acquisition-com-100m-series/9781737475743/p/56156458,$100M Offers: How to Make Offers so Good People Feel Stupid Saying no (Acquisition. Com $100M Series),"Economics, Finance, Business And Management","Entrepreneurship and entrepreneurs, Advertising, Direct marketing/telemarketing",Alex Hormozi,28.0,9.31,,"""$100M Offers: How to Make Offers so Good People Feel Stupid Saying no (Acquisition. Com $100M Series)"" ** OVER 300,000 COPIES SOLD!! ** Number 1 Amazon BEST SELLER over the last 74 weeks!I took home more in a year than the CEOs of McDonalds, IKEA, Ford, Motorola, and Yahoo....combined....as a kid in my twenties....using the $100M Offer method. It works. And it will work for you.Not that long ago though, my business had gotten so bad that I literally couldn't even give my services away for free. At the end of each month, I would look at my bank account hoping to see progress (but there wasn't). I knew something had to change...but what?Over the next 48 months, I went from losing money to making $36 for every $1 spent. In that time period, we generated over $120,000,000 across four different industries: service, e-commerce, software, and brick & mortar.But, unlike everyone else, we didn't have great funnels, great ads, or a wealthy niche. In fact, we didn't even send emails until we had crossed $50M in sales(!). Instead, we were able to do this one thing really well....we created offers so good, people felt stupid saying no.Here's exactly what this book will show you how to do: How To Charge a Lot More Than You Currently Are...a- The Tiny Market Big Money Process we use to laser focus on niche markets overflowing with cashb- The ""Unfair"" Pricing formula....how we 100x'd our pricing (and got more people to say yes....for real)c- The Value Flip...so you never get price compared again (that's a promise)d- The Virtuous Cycle of Price...use it to outspend your competition (for good) while using your product to attract the best talent.How To Make Your Product So Good, Prospects Find A Way To Pay For Ita- The Unbeatable Value Equation....to make what you sell worth more than your prospects have ever receivedb- The Delivery Cube....to make delivering your products and services cost less but provide morec- The Trim & Stack Hack....to maximize profit using the absolute best delivery methods. (This has never been shared publicly and was how we made $17M in profit on $28M in revenue in a year when I was 28 years old).How To Enhance Your Offer So Much, Prospects Buy Without Hesitatinga- The Scarcity Stack....how to use the three different types of scarcity in every offer you make (without lying) to get people to buy the moment you askb- The ""Everyday"" Urgency Blueprint... to get prospects to buy RIGHT NOW, using everyday life to create real, ethical time pressurec- Unbeatable Bonuses...and watch your prospects' hesitations melt away as they begin reading their credit cards to you before you even finish!d- God-mode Guarantees...so good they make anyone say yes (even people who would never normally consider buying). I'll show you how to stack and layer all 4 types of guarantees together. I even give you my 13 favorite guarantees word-for-word to swipe for yourself.e- Magic Naming Formula to get the absolute highest response rates and conversion rates from everything you do to get new clients and so much more...The methods contained within this book are so simple, so instantaneous, and so effective, it's as if they work by magic. If you implement even one tactic in this book, you'll see the change in your prospects' demeanor. And you'll know the $100M Offer method worked when you start hearing ""What do I need to do to move forward?"" ...before you even ask for the sale.",3414,5.0,2,English,Paperback,"27.9, 21.6, 0.9",cm,0.39,gr,9781737475743
https://www.bookdelivery.com/il-en/book-isc-2-ccsp-certified-cloud-security-professional-official-practice-tests/9781119909408/p/54264997,(Isc)2 Ccsp Certified Cloud Security Professional Official Practice Tests,Computing And Information Technology,Network security,Mike Chapple; David Seidl,28.0,9.31,,,0,,0,English,Paperback,,,,gr,9781119909408
https://www.bookdelivery.com/il-en/book-n-concise-oxford-thesaurus-3a-ed-2007-hardback/9780199215133/p/4140245,(n).concise oxford thesaurus.(3a.ed.2007).hardback,Language And Linguistics,Thesauri / synonym dictionaries,,28.0,9.31,,,0,,0,English ISBN 0199215138,None,,,,gr,9780199215133
https://www.bookdelivery.com/il-en/book-1-500-color-mixing-recipes-for-oil-acrylic-watercolor-achieve-precise-color-when-painting-landscapes-portraits-still-lifes-and-more/9781600582837/p/8912243,"1,500 Color Mixing Recipes for Oil, Acrylic & Watercolor: Achieve Precise Color When Painting Landscapes, Portraits, Still Lifes, and More",Arts,"Painting and painted works, Colours and colour theory",William F. Powell,28.0,9.31,2012.0,"""1,500 Color Mixing Recipes for Oil, Acrylic & Watercolor: Achieve Precise Color When Painting Landscapes, Portraits, Still Lifes, and More "" 1,500 Color Mixing Recipes for Oil, Acrylic & Watercolor is the definitive color-mixing resource for oil, acrylic, and watercolor artists. This user-friendly spiral-bound book is tabbed for quick and easy reference and includes two removable color-mixing grids--one for oil or acrylic, and one for watercolor. Follow these four simple steps to mix more than 1,500 color combinations: Look in the Color Guidance Index for the subject you want to paint--for example, ""Broccoli.""Find the Color Recipe with the subject's recipe number (""81"") and a photo of the actual paint mixture.Use the Color Mixing Grid to measure each paint color.Mix the color.It's that easy! You'll also learn about color theory, color value mixing, graying color naturally, mixing flesh and portrait colors, and rendering skies and clouds.  Also available from Walter Foster's best-selling Color Mixing Recipes series: Color Mixing Recipes for Oil & Acrylic, Color Mixing Recipes for Portraits, and Color Mixing Recipes for Landscapes.",1148,,0,English,Spiral,"24.4, 18.0, 2.8",cm,0.93.1600582834,kg,9781600582837
https://www.bookdelivery.com/il-en/book-100-cars-that-changed-the-world-the-designs-engines-and-technologies-that-drive-our-imaginations/9781645581246/p/53638514,"100 Cars That Changed the World: The Designs, Engines, and Technologies That Drive our Imaginations",Outdoor Sports And Leisure Activities,"Vehicle and transport equipment manufacturing industries, Motor vehicle sports, Land vehicles and motor vehicles: general interest","Publications International Ltd, Auto Editors of Consumer Guide",28.0,9.31,2020.0,"""100 Cars That Changed the World: The Designs, Engines, and Technologies That Drive our Imaginations "" 100 Cars That Changed the World showcases vehicles from the end of the nineteenth century to 2020. Cars are showcased with brief text, color photography, and vintage black and white photography.Vehicles included: The Ford Model T that put America on wheels.The Volkswagen Beetle that was loved around the world.The Jeep that helped win World War II and popularized off-road adventure.The Pontiac GTO that launched the muscle car era.The Dodge Caravan that changed the way that families travel.The Ford Explorer that ignited the SUV movement.The Tesla Model S that made electric cars exciting.And many more!Large hardcover, 144 pages.",736,,0,English,Hardcover,"28.7, 24.4, 2.3",cm,1.04.,kg,9781645581246
https://www.bookdelivery.com/il-en/book-100-deadly-skills-combat-edition-a-navy-seal-s-guide-to-crushing-your-enemy-fighting-for-your-life-and-embracing-your-inner-badass/9781544518862/p/53414085,"100 Deadly Skills: Combat Edition: A Navy Seal'S Guide to Crushing Your Enemy, Fighting for Your Life, and Embracing Your Inner Badass",Outdoor Sports And Leisure Activities,"Espionage and secret services, Martial arts",Clint Emerson,28.0,9.31,2021.0,"""100 Deadly Skills: Combat Edition: A Navy Seal'S Guide to Crushing Your Enemy, Fighting for Your Life, and Embracing Your Inner Badass "" The third installment in the bestselling series-now featuring live-action video content.""The first volume in the 100 Deadly Skills series delivered clandestine hacks to help you escape and evade threats at home and abroad. The second book, Survival Edition, provided a blueprint for surviving fatal disasters. Now, with the Combat Edition, I've created the most comprehensive on-the-ground combat manual ever assembled-helping good people defeat evil, fight for their lives, and survive another day.""-Clint EmersonCreated by a retired Navy SEAL, this illustrated manual presents one hundred skills from some of the deadliest characters on Earth. Special ops. Outlaw bikers. Martial artists. Professional fighters. Drawn from an elite cadre of experts, each technique is broken down step by step to radically improve your chances of coming out on top-whether you're facing an active shooter or going toe to toe with a belligerent prick. Embedded videos let you visualize the skills and practice them in real time.These one hundred deadly skills include: - Weaponizing your non-violent posture- Delivering damaging body strikes- Accurately throwing a knife- Quick drawing and shooting a handgun- Tactically deceiving your enemy- Surviving a multi-threat ambush- Understanding non-lethal and lethal optionsClint Emerson, retired Navy SEAL, spent twenty years conducting special ops all over the world while attached to SEAL Team Three, the National Security Agency (NSA), and a Special Mission Unit. Tom Mandrake has created and illustrated books, comics and graphic novels for over 40 years. Some of the titles he has worked on include Batman, The Spectre, The Martian Manhunter, The Punisher, The New Mutants, The X-Files, Creeps, To Hell You Ride and Kros: Hallowed Ground.H. Keith Melton, a graduate of the U.S. Naval Academy and author of many spy books, is an intelligence historian and a specialist in clandestine technology, espionage, and tradecraft.",2094,,0,English,Paperback,"21.0, 14.0, 1.7",cm,0.37.,kg,9781544518862
https://www.bookdelivery.com/il-en/book-100-deadly-skills-survival-edition-the-seal-operative-s-guide-to-surviving-in-the-wild-and-being-prepared-for-any-disaster/9781501143908/p/47642946,100 Deadly Skills: Survival Edition: The Seal Operative'S Guide to Surviving in the Wild and Being Prepared for any Disaster,Outdoor Sports And Leisure Activities,Outdoor survival skills,Clint Emerson,28.0,9.31,2016.0,"""100 Deadly Skills: Survival Edition: The Seal Operative'S Guide to Surviving in the Wild and Being Prepared for any Disaster "" From national bestselling author and retired Navy SEAL Clint Emerson comes the essential guide for surviving today's emergencies--from navigating in the wild to staying alive in any disaster. These 100 skills, adapted for civilians from actual field experiences of special forces operations, offer a complete hands-on and practical guide to help you survive in the wild no matter the climate or terrain; be prepared for any crisis; and have the critical life-saving knowledge for staying safe in any hostile environment or disaster. Yesterday's survival guide is no longer relevant. 100 Deadly Skills: Survival Edition is what you need for today's world, combining survival hacks developed on the battlefield with the low-tech tools you have on hand. This book is your essential prep manual, from securing shelter, building fire, finding food, and navigating back to civilization no matter the environment to thinking like a special forces solider so that you can survive a hostage situation, an active shooter, a suicide bomber, or a terrorist threat on the subway, and even apply trauma medicine as a first responder. Full of specific scenarios to help you get in the mindset of survival, 100 Deadly Skills: Survival Edition is better than a Swiss Army knife whether you're lost at sea, forced to land a plane, fighting off a bear, or deciding whether to run, hide, or fight. Next to each skill are easy-to-grasp detailed illustrations, because when you need to survive the apocalypse, you don't have time for complicated instructions.",1665,,0,English,Paperback,"21.3, 14.2, 1.8",cm,0.36.,kg,9781501143908
https://www.bookdelivery.com/il-en/book-100-deadly-skills-the-seal-operative-s-guide-to-eluding-pursuers-evading-capture-and-surviving-any-dangerous-situation/9781476796055/p/47518718,"100 Deadly Skills: The Seal Operative's Guide to Eluding Pursuers, Evading Capture, and Surviving any Dangerous Situation",Society And Social Sciences,Espionage and secret services,Clint Emerson,28.0,9.31,2015.0,"""100 Deadly Skills: The Seal Operative's Guide to Eluding Pursuers, Evading Capture, and Surviving any Dangerous Situation "" A hands-on, practical survival guide from retired Navy SEAL Clint Emerson--adapted for civilians from actual special forces operations--to eluding pursuers, evading capture, and surviving any dangerous situation. In today's increasingly dangerous worl",376,,0,English,Paperback,"21.1, 13.7, 1.8",cm,0.36.,kg,9781476796055
https://www.bookdelivery.com/il-en/book-100-dot-to-dot-puzzles-book-jumbo-dot-to-dot-for-adults/9798684000393/p/56264778,100 Dot-to-Dot Puzzles Book: Jumbo Dot to Dot For Adults,"Lifestyle, Hobbies And Leisure","Hobbies, puzzles and games",Happiness Dots,28.0,9.31,,,0,,0,English,Paperback,"27.9, 21.6, 0.6",cm,0.26.,kg,9798684000393
